model,language,type,entropy,ent_value,ent_sd,MI,MI_sd
C-KDE-all,De,Stress-accent languages,Differential Entropy,10.02,0.08,1.12,0.01
C-KDE-all,En,Stress-accent languages,Differential Entropy,9.58,0.12,1.05,0.01
C-KDE-all,Fr,Stress-accent languages,Differential Entropy,9.86,0.11,1.26,0.04
C-KDE-all,It,Stress-accent languages,Differential Entropy,9.74,0.19,1.11,0.01
C-KDE-all,Ja,Pitch-accent languages,Differential Entropy,9.06,0.09,1.34,0.03
C-KDE-all,Sr,Pitch-accent languages,Differential Entropy,7.72,0.17,NA,NA
C-KDE-all,Sv,Pitch-accent languages,Differential Entropy,9.90,0.09,1.17,0.03
C-KDE-all,Th,Tonal-accent languages,Differential Entropy,9.58,0.17,1.61,0.03
C-KDE-all,Vi,Tonal-accent languages,Differential Entropy,10.23,0.08,1.72,0.02
C-KDE-all,Zh-CN,Tonal-accent languages,Differential Entropy,10.36,0.14,0.92,0.01
C-KDE-all,Yue,Tonal-accent languages,Differential Entropy,8.92,0.12,1.36,0.02
C-KDE-all,Zh-by-Char,Tonal-accent languages,Differential Entropy,9.68,0.07,1.66,0.03
C-KDE-all,Yue-by-Char,Tonal-accent languages,Differential Entropy,9.05,0.10,1.55,0.02
C-KDE-all,Kor,Other languages,Differential Entropy,10.23,0.22,NA,NA
C-KDE-all,De,Stress-accent languages,Conditional Entropy,8.90,0.01,1.12,0.01
C-KDE-all,En,Stress-accent languages,Conditional Entropy,8.53,0.01,1.05,0.01
C-KDE-all,Fr,Stress-accent languages,Conditional Entropy,8.60,0.04,1.26,0.04
C-KDE-all,It,Stress-accent languages,Conditional Entropy,8.63,0.01,1.11,0.01
C-KDE-all,Ja,Pitch-accent languages,Conditional Entropy,7.72,0.03,1.34,0.03
C-KDE-all,Sr,Pitch-accent languages,Conditional Entropy,NA,NA,NA,NA
C-KDE-all,Sv,Pitch-accent languages,Conditional Entropy,8.73,0.03,1.17,0.03
C-KDE-all,Th,Tonal-accent languages,Conditional Entropy,7.97,0.03,1.61,0.03
C-KDE-all,Vi,Tonal-accent languages,Conditional Entropy,8.51,0.02,1.72,0.02
C-KDE-all,Zh-CN,Tonal-accent languages,Conditional Entropy,9.44,0.01,0.92,0.01
C-KDE-all,Yue,Tonal-accent languages,Conditional Entropy,7.56,0.02,1.36,0.02
C-KDE-all,Zh-by-Char,Tonal-accent languages,Conditional Entropy,8.02,0.03,1.66,0.03
C-KDE-all,Yue-by-Char,Tonal-accent languages,Conditional Entropy,7.50,0.02,1.55,0.02
C-KDE-all,Kor,Other languages,Conditional Entropy,NA,NA,NA,NA
C-KDE-split,De,Stress-accent languages,Differential Entropy,10.02,0.08,0.33,0.01
C-KDE-split,En,Stress-accent languages,Differential Entropy,9.58,0.12,0.32,0.01
C-KDE-split,Fr,Stress-accent languages,Differential Entropy,9.86,0.11,0.4,0.01
C-KDE-split,It,Stress-accent languages,Differential Entropy,9.74,0.19,0.31,0.01
C-KDE-split,Ja,Pitch-accent languages,Differential Entropy,9.06,0.09,0.55,0.02
C-KDE-split,Sr,Pitch-accent languages,Differential Entropy,7.72,0.17,NA,NA
C-KDE-split,Sv,Pitch-accent languages,Differential Entropy,9.90,0.09,0.29,0.02
C-KDE-split,Th,Tonal-accent languages,Differential Entropy,9.58,0.17,0.79,0.01
C-KDE-split,Vi,Tonal-accent languages,Differential Entropy,10.23,0.08,0.84,0.02
C-KDE-split,Zh-CN,Tonal-accent languages,Differential Entropy,10.36,0.14,0.32,0.01
C-KDE-split,Yue,Tonal-accent languages,Differential Entropy,8.92,0.12,0.95,0.02
C-KDE-split,Zh-by-Char,Tonal-accent languages,Differential Entropy,9.68,0.07,0.8,0.02
C-KDE-split,Yue-by-Char,Tonal-accent languages,Differential Entropy,9.05,0.10,0.75,0.02
C-KDE-split,Kor,Other languages,Differential Entropy,10.23,0.22,NA,NA
C-KDE-split,De,Stress-accent languages,Conditional Entropy,9.69,0.01,0.33,0.01
C-KDE-split,En,Stress-accent languages,Conditional Entropy,9.26,0.01,0.32,0.01
C-KDE-split,Fr,Stress-accent languages,Conditional Entropy,9.46,0.01,0.4,0.01
C-KDE-split,It,Stress-accent languages,Conditional Entropy,9.43,0.01,0.31,0.01
C-KDE-split,Ja,Pitch-accent languages,Conditional Entropy,8.51,0.02,0.55,0.02
C-KDE-split,Sr,Pitch-accent languages,Conditional Entropy,NA,NA,NA,NA
C-KDE-split,Sv,Pitch-accent languages,Conditional Entropy,9.61,0.02,0.29,0.02
C-KDE-split,Th,Tonal-accent languages,Conditional Entropy,8.79,0.01,0.79,0.01
C-KDE-split,Vi,Tonal-accent languages,Conditional Entropy,9.39,0.02,0.84,0.02
C-KDE-split,Zh-CN,Tonal-accent languages,Conditional Entropy,10.04,0.01,0.32,0.01
C-KDE-split,Yue,Tonal-accent languages,Conditional Entropy,7.97,0.02,0.95,0.02
C-KDE-split,Zh-by-Char,Tonal-accent languages,Conditional Entropy,8.88,0.02,0.8,0.02
C-KDE-split,Yue-by-Char,Tonal-accent languages,Conditional Entropy,8.30,0.02,0.75,0.02
C-KDE-split,Kor,Other languages,Conditional Entropy,NA,NA,NA,NA
fastText,De,Stress-accent languages,Differential Entropy,10.02,0.08,0.17,0.01
fastText,En,Stress-accent languages,Differential Entropy,9.58,0.12,0.17,0.02
fastText,Fr,Stress-accent languages,Differential Entropy,9.86,0.11,0.27,0.02
fastText,It,Stress-accent languages,Differential Entropy,9.74,0.19,0.31,0.02
fastText,Ja,Pitch-accent languages,Differential Entropy,9.06,0.09,0.33,0.02
fastText,Sr,Pitch-accent languages,Differential Entropy,7.72,0.17,3.44,0.08
fastText,Sv,Pitch-accent languages,Differential Entropy,9.90,0.09,0.17,0.02
fastText,Th,Tonal-accent languages,Differential Entropy,9.58,0.17,0.34,0.02
fastText,Vi,Tonal-accent languages,Differential Entropy,10.23,0.08,0.36,0.04
fastText,Zh-CN,Tonal-accent languages,Differential Entropy,10.36,0.14,1.58,0.10
fastText,Yue,Tonal-accent languages,Differential Entropy,8.92,0.12,1.38,0.10
fastText,Zh-by-Char,Tonal-accent languages,Differential Entropy,9.68,0.07,1.01,0.07
fastText,Yue-by-Char,Tonal-accent languages,Differential Entropy,9.05,0.10,0.59,0.04
fastText,Kor,Other languages,Differential Entropy,10.23,0.22,1.38,0.10
fastText,De,Stress-accent languages,Conditional Entropy,9.85,0.01,0.17,0.01
fastText,En,Stress-accent languages,Conditional Entropy,9.41,0.02,0.17,0.02
fastText,Fr,Stress-accent languages,Conditional Entropy,9.59,0.02,0.27,0.02
fastText,It,Stress-accent languages,Conditional Entropy,9.43,0.02,0.31,0.02
fastText,Ja,Pitch-accent languages,Conditional Entropy,8.73,0.02,0.33,0.02
fastText,Sr,Pitch-accent languages,Conditional Entropy,4.28,0.08,3.44,0.08
fastText,Sv,Pitch-accent languages,Conditional Entropy,9.73,0.02,0.17,0.02
fastText,Th,Tonal-accent languages,Conditional Entropy,9.24,0.02,0.34,0.02
fastText,Vi,Tonal-accent languages,Conditional Entropy,9.87,0.04,0.36,0.04
fastText,Zh-CN,Tonal-accent languages,Conditional Entropy,8.78,0.10,1.58,0.10
fastText,Yue,Tonal-accent languages,Conditional Entropy,7.54,0.10,1.38,0.10
fastText,Zh-by-Char,Tonal-accent languages,Conditional Entropy,8.67,0.07,1.01,0.07
fastText,Yue-by-Char,Tonal-accent languages,Conditional Entropy,8.46,0.04,0.59,0.04
fastText,Kor,Other languages,Conditional Entropy,8.85,0.10,1.38,0.10
mBERT,De,Stress-accent languages,Differential Entropy,10.02,0.08,1.63,0.05
mBERT,En,Stress-accent languages,Differential Entropy,9.58,0.12,1.46,0.04
mBERT,Fr,Stress-accent languages,Differential Entropy,9.86,0.11,1.74,0.07
mBERT,It,Stress-accent languages,Differential Entropy,9.74,0.19,1.45,0.05
mBERT,Ja,Pitch-accent languages,Differential Entropy,9.06,0.09,1.76,0.07
mBERT,Sr,Pitch-accent languages,Differential Entropy,7.72,0.17,NA,NA
mBERT,Sv,Pitch-accent languages,Differential Entropy,9.90,0.09,1.40,0.07
mBERT,Th,Tonal-accent languages,Differential Entropy,9.58,0.17,2.11,0.03
mBERT,Vi,Tonal-accent languages,Differential Entropy,10.23,0.08,1.49,0.05
mBERT,Zh-CN,Tonal-accent languages,Differential Entropy,10.36,0.14,1.25,0.05
mBERT,Yue,Tonal-accent languages,Differential Entropy,8.92,0.12,1.48,0.04
mBERT,Zh-by-Char,Tonal-accent languages,Differential Entropy,9.68,0.07,1.8,0.09
mBERT,Yue-by-Char,Tonal-accent languages,Differential Entropy,9.05,0.10,1.9,0.05
mBERT,Kor,Other languages,Differential Entropy,10.23,0.22,NA,NA
mBERT,De,Stress-accent languages,Conditional Entropy,8.39,0.05,1.63,0.05
mBERT,En,Stress-accent languages,Conditional Entropy,8.12,0.04,1.46,0.04
mBERT,Fr,Stress-accent languages,Conditional Entropy,8.12,0.07,1.74,0.07
mBERT,It,Stress-accent languages,Conditional Entropy,8.29,0.05,1.45,0.05
mBERT,Ja,Pitch-accent languages,Conditional Entropy,7.30,0.07,1.76,0.07
mBERT,Sr,Pitch-accent languages,Conditional Entropy,NA,NA,NA,NA
mBERT,Sv,Pitch-accent languages,Conditional Entropy,8.50,0.07,1.40,0.07
mBERT,Th,Tonal-accent languages,Conditional Entropy,7.47,0.03,2.11,0.03
mBERT,Vi,Tonal-accent languages,Conditional Entropy,8.74,0.05,1.49,0.05
mBERT,Zh-CN,Tonal-accent languages,Conditional Entropy,9.11,0.05,1.25,0.05
mBERT,Yue,Tonal-accent languages,Conditional Entropy,7.44,0.04,1.48,0.04
mBERT,Zh-by-Char,Tonal-accent languages,Conditional Entropy,7.88,0.09,1.8,0.09
mBERT,Yue-by-Char,Tonal-accent languages,Conditional Entropy,7.15,0.05,1.9,0.05
mBERT,Kor,Other languages,Conditional Entropy,NA,NA,NA,NA
mGPT,De,Stress-accent languages,Differential Entropy,10.02,0.08,0.98,0.01
mGPT,En,Stress-accent languages,Differential Entropy,9.58,0.12,1.6,0.07
mGPT,Fr,Stress-accent languages,Differential Entropy,9.86,0.11,1.21,0.03
mGPT,It,Stress-accent languages,Differential Entropy,9.74,0.19,0.9,0.03
mGPT,Ja,Pitch-accent languages,Differential Entropy,9.06,0.09,1.12,0.04
mGPT,Sr,Pitch-accent languages,Differential Entropy,7.72,0.17,NA,NA
mGPT,Sv,Pitch-accent languages,Differential Entropy,9.90,0.09,0.6,0.03
mGPT,Th,Tonal-accent languages,Differential Entropy,9.58,0.17,1.66,0.04
mGPT,Vi,Tonal-accent languages,Differential Entropy,10.23,0.08,1.31,0.02
mGPT,Zh-CN,Tonal-accent languages,Differential Entropy,10.36,0.14,0.97,0.04
mGPT,Yue,Tonal-accent languages,Differential Entropy,8.92,0.12,1.23,0.03
mGPT,Zh-by-Char,Tonal-accent languages,Differential Entropy,9.68,0.07,1.29,0.03
mGPT,Yue-by-Char,Tonal-accent languages,Differential Entropy,9.05,0.10,1.17,0.03
mGPT,Kor,Other languages,Differential Entropy,10.23,0.22,NA,NA
mGPT,De,Stress-accent languages,Conditional Entropy,9.04,0.01,0.98,0.01
mGPT,En,Stress-accent languages,Conditional Entropy,7.98,0.07,1.6,0.07
mGPT,Fr,Stress-accent languages,Conditional Entropy,8.65,0.03,1.21,0.03
mGPT,It,Stress-accent languages,Conditional Entropy,8.84,0.03,0.9,0.03
mGPT,Ja,Pitch-accent languages,Conditional Entropy,7.94,0.04,1.12,0.04
mGPT,Sr,Pitch-accent languages,Conditional Entropy,NA,NA,NA,NA
mGPT,Sv,Pitch-accent languages,Conditional Entropy,9.30,0.03,0.6,0.03
mGPT,Th,Tonal-accent languages,Conditional Entropy,7.92,0.04,1.66,0.04
mGPT,Vi,Tonal-accent languages,Conditional Entropy,8.92,0.02,1.31,0.02
mGPT,Zh-CN,Tonal-accent languages,Conditional Entropy,9.39,0.04,0.97,0.04
mGPT,Yue,Tonal-accent languages,Conditional Entropy,7.69,0.03,1.23,0.03
mGPT,Zh-by-Char,Tonal-accent languages,Conditional Entropy,8.39,0.03,1.29,0.03
mGPT,Yue-by-Char,Tonal-accent languages,Conditional Entropy,7.88,0.03,1.17,0.03
mGPT,Kor,Other languages,Conditional Entropy,NA,NA,NA,NA